bron_rij,Ad Name,Product,Awareness Level,Angle Type,Marketing Angle (origineel),Desires (origineel),Format,Media Type,Hook (short),Channel,Audience,Persona,Date Live,Budget (€),Impressions,Hook Rate (%),Hold Rate (%),CTR (%),CPM (€),CPC (€),Conversions,CVR (%),CPA (€),AOV (€),ROAS,Break-even ROAS,Target ROAS,Score (1-10),Status,Next Step,Notes,Creatives Link
1,001-1,Shave Package 3.0,2. Problem Aware,Storytelling / Narrative,Humor + relatability rond mannelijke verzorging,"“Van gevoelige plekken tot neushaar – één pakket, nul zorgen.”
“Geen schaamte. Geen bultjes. Alleen gemak.”",📱 UGC Talking Head Testimonial,🎬 Video,"Er zijn dus trimmers die de gevoelige plekken aankunnen, en de neushaar?",Meta,NL & BE,Luca,2025-08-04,7.69,,0.25,0.0374,0.0051,13.08,1.3,,,,,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1CCOwXf0CMRZNuR88Ir4djrecDa8pe9QD?usp=sharing
2,001-2,Shave Package 3.0,2. Problem Aware,Storytelling / Narrative,Humor + relatability rond mannelijke verzorging,"“Van gevoelige plekken tot neushaar – één pakket, nul zorgen.”
“Geen schaamte. Geen bultjes. Alleen gemak.”",📱 UGC Talking Head Testimonial,🎬 Video,Waarom voelt trimmen op gevoelige plekken altijd zo vervelend?,Meta,NL & BE,Luca,2025-08-04,16.96,,0.262,0.053,0.0092,11.98,1.3,,,,,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1CCOwXf0CMRZNuR88Ir4djrecDa8pe9QD?usp=sharing
3,001-3,Shave Package 3.0,2. Problem Aware,Storytelling / Narrative,Humor + relatability rond mannelijke verzorging,"“Van gevoelige plekken tot neushaar – één pakket, nul zorgen.”
“Geen schaamte. Geen bultjes. Alleen gemak.”",📱 UGC Talking Head Testimonial,🎬 Video,"Ik dacht altijd, pijn en irritatie hoort erbij!",Meta,NL & BE,Luca,2025-08-05,4.8,,0.25,0.0485,0.0102,12.24,1.2,,,,,0.0,1.81,2.26,,Killed,,,https://drive.google.com/drive/folders/1CCOwXf0CMRZNuR88Ir4djrecDa8pe9QD?usp=sharing
4,002-1,Groom Guard,1. Unaware,Storytelling / Narrative,Break-up storytelling + relatability,Verlangen naar pijnvrij en zorgeloos trimmen,📱 UGC Talking Head Testimonial,🎬 Video,"Ik heb laatst afscheid genomen van iets, iets waar ik best lang mee ben geweest... mijn oude trimmer",Meta,NL & BE,Luca,2025-08-06,9.0,,0.2198,0.0337,0.0058,10.53,1.81,,,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1CLGqNa9YNMITnHfPMC2UulAmvImbPX8I?usp=sharing
5,002-2,Groom Guard,1. Unaware,Storytelling / Narrative,Break-up storytelling + relatability,Verlangen naar pijnvrij en zorgeloos trimmen,📱 UGC Talking Head Testimonial,🎬 Video,"FF serieus, waarom doen we onszelf dit nog aan?",Meta,NL & BE,Luca,2025-08-06,18.03,,0.0,0.0,0.0198,11.18,1.0,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1CLGqNa9YNMITnHfPMC2UulAmvImbPX8I?usp=sharing
6,002-3,Groom Guard,1. Unaware,Storytelling / Narrative,Break-up storytelling + relatability,Verlangen naar pijnvrij en zorgeloos trimmen,📱 UGC Talking Head Testimonial,🎬 Video,"Ken je dat? Die ene trimmer die pijn jeuk of irritatie veroorzaakt? Ja ik ook, maar ik ben verder gegaan",Meta,NL & BE,Luca,2025-08-06,11.18,,0.2249,0.0552,0.0102,11.43,1.4,,,,0.0,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1CLGqNa9YNMITnHfPMC2UulAmvImbPX8I?usp=sharing
7,003-1,Groom Guard,2. Problem Aware,Social Proof / Reviews,Attractiveness & social approval,Verlangen naar aantrekkelijkheid en sociale goedkeuring,📱 UGC Talking Head Testimonial,🎬 Video,Mannen die zich niet goed scheren? Dat is een afknapper,Meta,NL & BE,Daan,2025-08-06,307.0,,0.3422,0.0858,0.0184,8.16,0.72,,0.0267,25.0,46.7,1.82,1.9,2.38,,Iterate,,,https://drive.google.com/drive/folders/1EKFnITcYDDfZbIVZVVc9SBPH4ejsH5oi?usp=sharing
8,003-2,Groom Guard,2. Problem Aware,Social Proof / Reviews,Attractiveness & social approval,Verlangen naar aantrekkelijkheid en sociale goedkeuring,📱 UGC Talking Head Testimonial,🎬 Video,"Geloof mij, elke vrouw wilt dat hun man zicht goed verzorgd",Meta,NL & BE,Daan,2025-08-06,52.0,,0.2753,0.0485,0.0181,1.29,0.92,,0.0345,26.17,39.95,1.53,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1EKFnITcYDDfZbIVZVVc9SBPH4ejsH5oi?usp=sharing
9,003-3,Groom Guard,2. Problem Aware,Social Proof / Reviews,Attractiveness & social approval,Verlangen naar aantrekkelijkheid en sociale goedkeuring,📱 UGC Talking Head Testimonial,🎬 Video,Elke vrouw wilt toch een verzorgde man?,Meta,NL & BE,Daan,2025-08-06,25.88,,0.213,0.0521,0.0204,11.73,0.81,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1EKFnITcYDDfZbIVZVVc9SBPH4ejsH5oi?usp=sharing
10,004-1,Groom Guard,2. Problem Aware,Storytelling / Narrative,Zelfzorg = status & eerste indruk,Verlangen naar zelfvertrouwen en sociale waardering,📱 UGC Talking Head Testimonial,🎬 Video,"Mannen deze video is voor jullie, onverzorgd zijn als man is gewoon niet oke. Niemand maakt een betere indruk, dan iemand die zijn grooming serieus neemt",Meta,NL & BE,Daan,2025-08-06,3.21,,0.2525,0.0248,0.0099,15.89,1.61,,0.0,,,0.0,1.9,2.38,,Killed,,,https://drive.google.com/drive/folders/1QFYRIhYZfwV7G0eQTXMRCu873cvLp9pJ?usp=sharing
